id,performance_id,component_index,component_name,factor,panel_score,judges_scores
1,1,1,Composition,3.33,8.29,"7.75,8.50,8.25,8.25,8.25,8.25,8.75,8.25,8.25"
2,1,2,Presentation,3.33,8.25,"8.25,8.25,8.25,8.25,8.50,8.00,8.25,8.50,8.00"
3,1,3,Skating Skills,3.33,8.46,"8.50,8.50,8.50,8.50,8.25,8.50,8.50,8.50,8.25"
4,2,1,Composition,3.33,8.39,"8.25,8.75,8.50,7.75,8.50,7.50,8.75,8.25,8.75"
5,2,2,Presentation,3.33,8.21,"7.75,8.50,8.50,8.25,8.25,7.75,8.00,8.25,8.75"
6,2,3,Skating Skills,3.33,8.04,"8.25,8.50,8.25,7.75,7.75,7.75,7.75,8.00,8.50"
7,3,1,Composition,3.33,8.0,"8.00,8.25,7.75,8.00,8.00,8.25,8.25,7.50,7.75"
8,3,2,Presentation,3.33,7.89,"7.75,8.00,7.75,7.75,8.25,8.25,8.00,7.75,7.50"
9,3,3,Skating Skills,3.33,7.93,"7.50,7.75,7.75,8.00,8.00,8.50,8.25,8.00,7.75"
10,4,1,Composition,3.33,7.54,"7.50,7.50,7.75,7.75,7.75,7.50,7.50,7.25,7.25"
11,4,2,Presentation,3.33,7.61,"7.75,7.25,7.50,8.00,8.00,7.50,7.50,7.50,7.50"
12,4,3,Skating Skills,3.33,7.71,"7.75,7.25,7.75,7.75,7.50,7.75,7.75,7.75,7.75"
13,5,1,Composition,3.33,7.5,"7.25,7.75,7.50,7.50,7.75,7.50,7.25,7.25,7.75"
14,5,2,Presentation,3.33,7.5,"7.00,7.50,7.50,7.50,8.00,7.50,7.50,7.50,7.50"
15,5,3,Skating Skills,3.33,7.68,"7.75,7.50,7.75,7.75,8.00,7.25,7.50,7.75,7.75"
16,6,1,Composition,3.33,7.04,"7.50,8.00,6.50,6.50,6.50,7.25,7.50,7.00,7.00"
17,6,2,Presentation,3.33,7.32,"7.25,8.00,6.75,7.00,7.25,7.25,7.75,7.25,7.50"
18,6,3,Skating Skills,3.33,7.18,"6.50,7.75,6.50,7.25,6.75,7.50,7.50,7.25,7.50"
19,7,1,Composition,3.33,7.43,"6.75,8.00,7.25,7.25,7.75,7.25,7.50,7.25,7.75"
20,7,2,Presentation,3.33,7.46,"7.50,8.00,7.25,7.50,7.75,7.25,7.25,7.25,7.75"
21,7,3,Skating Skills,3.33,7.71,"7.75,8.25,7.50,7.25,7.75,7.75,7.75,7.50,8.00"
22,8,1,Composition,3.33,7.89,"8.00,8.25,7.50,8.25,8.00,7.75,7.75,8.00,7.50"
23,8,2,Presentation,3.33,7.75,"7.50,8.00,7.50,8.00,8.50,7.75,7.75,7.75,7.00"
24,8,3,Skating Skills,3.33,8.04,"8.00,8.25,7.50,8.25,8.50,7.50,8.25,8.25,7.75"
