id,performance_id,element_index,element_name,base_value,goe,panel_score,judges_scores,is_bonus
1,1,1,4Lz,11.5,2.79,14.29,"3,2,3,3,3,2,2,2,2",False
2,1,2,3A+1Eu+3S,12.8,1.14,13.94,"1,2,2,2,2,1,0,1,1",False
3,1,3,4T+3T,13.7,1.49,15.19,"1,2,1,2,2,2,1,2,1",False
4,1,4,FCSp3,2.8,0.44,3.24,"2,2,1,2,2,1,1,2,1",False
5,1,5,4T,9.5,2.17,11.67,"2,2,2,3,3,3,2,2,2",False
6,1,6,3A+2A+SEQ,12.43,0.91,13.34,"1,1,1,2,2,1,1,1,1",True
7,1,7,3Lo,5.39,0.84,6.23,"1,1,1,2,2,2,2,2,2",True
8,1,8,3Lz,6.49,0.76,7.25,"1,2,1,2,2,1,1,1,1",True
9,1,9,CSSp4,3.0,0.43,3.43,"2,2,2,1,2,1,1,1,1",False
10,1,10,StSq3,3.3,0.66,3.96,"1,2,2,3,2,2,2,2,2",False
11,1,11,ChSq1,3.0,1.0,4.0,"2,1,2,2,2,2,3,2,2",False
12,1,12,CCoSp4,3.5,0.7,4.2,"2,2,2,2,2,2,2,2,2",False
13,2,1,4Lz,11.5,0.99,12.49,"-2,2,3,1,0,0,1,1,1",False
14,2,2,4Lo,10.5,2.25,12.75,"2,3,2,2,2,2,2,2,3",False
15,2,3,4S<,7.76,-1.44,6.32,"-2,-1,-1,-2,-2,-3,-2,-2,-2",False
16,2,4,3Aq+3T,12.2,-1.26,10.94,"-1,-2,0,-2,-2,-2,-2,-1,-1",False
17,2,5,ChSq1,3.0,1.07,4.07,"2,3,3,2,2,1,1,2,4",False
18,2,6,3A+2A+2A+SEQ,16.06,1.71,17.77,"3,3,2,2,2,1,1,2,3",True
19,2,7,3Lz+3Tq,11.11,-1.35,9.76,"-3,-3,-1,-2,-2,-3,-2,-2,-2",True
20,2,8,CSSp4,3.0,0.69,3.69,"2,3,2,3,3,1,2,2,2",False
21,2,9,StSq3,3.3,0.85,4.15,"3,3,3,2,3,2,1,2,3",False
22,2,10,3Lo,5.39,0.98,6.37,"2,2,2,2,2,2,1,2,2",True
23,2,11,CCoSp4,3.5,1.05,4.55,"3,3,3,3,3,2,3,3,3",False
24,2,12,FCCoSp4,3.5,0.6,4.1,"2,2,3,2,2,1,1,1,2",False
25,3,1,3A+1Eu+4Sq,18.2,-0.69,17.51,"-1,-1,0,-1,-1,0,0,-1,-1",False
26,3,2,4Lz,11.5,0.66,12.16,"2,0,0,1,1,2,0,0,0",False
27,3,3,4F!,11.0,0.63,11.63,"1,1,1,0,0,1,1,0,-1",False
28,3,4,FCSp3,2.8,0.08,2.88,"1,-1,-1,1,0,0,1,0,1",False
29,3,5,ChSq1,3.0,0.79,3.79,"1,1,1,2,1,2,2,2,2",False
30,3,6,3F!,5.3,0.08,5.38,"0,0,0,0,0,1,1,0,-1",False
31,3,7,CCoSp3,3.0,0.09,3.09,"0,0,-2,0,0,1,1,0,1",False
32,3,8,4T+3T,15.07,1.76,16.83,"2,3,1,1,2,2,2,2,2",True
33,3,9,3Lz+3A<+SEQ,13.53,-2.29,11.24,"-4,-4,-4,-3,-4,-3,-3,-4,-2",True
34,3,10,4T<F<,8.36,-3.8,4.56,"-5,-5,-5,-5,-5,-5,-5,-5,-5",True
35,3,11,StSq3,3.3,0.57,3.87,"2,3,2,2,2,1,1,1,2",False
36,3,12,CSSp3,2.6,0.48,3.08,"2,2,2,2,2,1,2,1,2",False
37,4,1,4T+3T,13.7,1.36,15.06,"1,1,1,2,2,2,1,1,2",False
38,4,2,4T,9.5,1.76,11.26,"0,2,2,2,2,2,2,1,2",False
39,4,3,3A,8.0,1.6,9.6,"2,2,2,3,2,1,3,2,1",False
40,4,4,FCCoSp4,3.5,0.1,3.6,"1,1,1,0,0,0,0,0,0",False
41,4,5,3S,4.3,-0.49,3.81,"-1,-1,-2,-1,-1,0,-2,-1,-1",False
42,4,6,3A+2A+SEQ,12.43,1.49,13.92,"1,2,2,2,1,2,2,2,2",True
43,4,7,3Lz+1Eu+3Fq,12.87,-1.01,11.86,"-2,-2,-2,-2,-2,-1,-2,-1,-1",True
44,4,8,3Lo,5.39,0.42,5.81,"0,1,0,1,1,2,1,1,1",True
45,4,9,FSSp4,3.0,0.04,3.04,"0,0,0,0,1,0,0,1,0",False
46,4,10,StSq4,3.9,1.0,4.9,"2,2,3,3,3,2,3,3,1",False
47,4,11,ChSq1,3.0,0.86,3.86,"2,1,0,3,3,1,2,2,1",False
48,4,12,CCoSp4,3.5,0.3,3.8,"1,0,-2,2,2,1,2,0,0",False
49,5,1,3A+2T,9.3,1.26,10.56,"1,1,1,2,2,2,2,1,2",False
50,5,2,3A,8.0,1.6,9.6,"2,2,2,2,3,2,2,1,2",False
51,5,3,3Lz,5.9,0.84,6.74,"1,1,2,2,2,1,1,1,3",False
52,5,4,3Lo,4.9,0.98,5.88,"2,2,2,3,3,1,2,1,2",False
53,5,5,FCCoSp4,3.5,0.7,4.2,"2,2,1,2,2,2,2,2,2",False
54,5,6,CCoSp4,3.5,0.75,4.25,"1,2,2,3,3,2,2,2,2",False
55,5,7,StSq3,3.3,0.57,3.87,"2,2,1,2,2,1,2,1,2",False
56,5,8,FSSp3,2.6,0.15,2.75,"0,2,1,1,1,1,0,0,0",False
57,5,9,3F!+2T,7.26,-0.3,6.96,"0,0,-1,-1,1,0,-2,-1,-1",True
58,5,10,3Lz+2A+2A+SEQ,13.75,0.51,14.26,"2,2,0,0,1,1,0,0,2",True
59,5,11,1S,0.44,-0.02,0.42,"-1,0,0,0,0,0,-1,-1,-1",True
60,5,12,ChSq1,3.0,0.79,3.79,"2,1,0,2,2,1,1,2,2",False
61,6,1,4T+3T,13.7,1.9,15.6,"2,2,2,2,2,2,2,2,1",False
62,6,2,4T,9.5,1.9,11.4,"2,2,2,2,2,2,2,2,1",False
63,6,3,3A,8.0,0.34,8.34,"1,1,0,0,1,1,-1,0,0",False
64,6,4,3Lo,4.9,0.28,5.18,"0,1,1,1,2,0,1,0,0",False
65,6,5,FCSp4,3.2,0.59,3.79,"2,2,2,2,2,1,2,2,1",False
66,6,6,ChSq1,3.0,0.57,3.57,"1,2,0,1,3,1,1,1,1",False
67,6,7,3A+REP,6.16,-2.4,3.76,"-3,-3,-3,-4,-3,-3,-3,-3,-3",True
68,6,8,3Lz!+2A+SEQ,10.12,-0.42,9.7,"0,0,-1,-1,-1,0,-1,-1,-1",True
69,6,9,3F,5.83,0.3,6.13,"0,1,1,0,1,1,1,0,0",True
70,6,10,CCoSp4,3.5,0.2,3.7,"1,1,-2,0,1,1,1,1,-1",False
71,6,11,CSSp3,2.6,0.37,2.97,"1,3,1,2,2,1,2,1,1",False
72,6,12,StSq2,2.6,0.33,2.93,"1,3,1,1,0,2,2,1,1",False
73,7,1,4T+2T,10.8,1.36,12.16,"1,2,0,1,2,1,2,1,2",False
74,7,2,4T,9.5,-2.44,7.06,"-1,-2,-4,-4,-2,-3,-2,-2,-3",False
75,7,3,3A+2T,9.3,0.8,10.1,"1,2,0,1,1,1,1,1,1",False
76,7,4,FCSp4,3.2,0.41,3.61,"1,2,0,2,1,1,1,1,2",False
77,7,5,3A,8.0,-2.17,5.83,"-3,-3,-4,-3,-2,-3,-3,-2,-2",False
78,7,6,3F,5.83,-1.29,4.54,"-3,-3,-4,-3,-3,-1,-2,-2,-1",True
79,7,7,3Lz+1Eu+2S,8.47,-0.76,7.71,"-1,-1,-2,-2,-1,-1,-2,-1,0",True
80,7,8,3Lo,5.39,0.0,5.39,"0,0,0,0,0,0,0,0,1",True
81,7,9,ChSq1,3.0,0.86,3.86,"2,2,1,2,2,1,2,1,3",False
82,7,10,CCoSp4,3.5,0.45,3.95,"1,2,1,1,2,1,1,1,2",False
83,7,11,StSq3,3.3,0.38,3.68,"2,2,0,0,2,0,1,1,2",False
84,7,12,CSSp3,2.6,0.45,3.05,"2,3,1,0,3,1,1,2,2",False
85,8,1,4S+3Tq,13.9,-0.42,13.48,"2,-1,-1,-1,3,-1,0,-1,-1",False
86,8,2,4T<F<,7.6,-3.8,3.8,"-5,-5,-5,-5,-5,-5,-5,-5,-5",False
87,8,3,2S,1.3,0.0,1.3,"0,1,0,0,0,0,0,0,-1",False
88,8,4,3AqFq,8.0,-4.0,4.0,"-5,-5,-5,-5,-5,-5,-5,-5,-5",False
89,8,5,StSq4,3.9,1.39,5.29,"4,3,3,4,4,4,4,3,3",False
90,8,6,3Lz+1Eu+2S,8.47,0.67,9.14,"2,1,1,2,1,1,1,1,1",True
91,8,7,3Fq+2A+SEQ,9.46,-0.91,8.55,"-1,-2,-1,-2,-2,-2,-2,-1,-2",True
92,8,8,FCSp3,2.8,0.12,2.92,"1,0,1,0,1,1,-1,0,0",False
93,8,9,FCCoSp4,3.5,0.45,3.95,"3,1,1,2,2,1,1,1,1",False
94,8,10,3F,5.83,-1.06,4.77,"1,-3,-3,-2,-2,-2,-2,-1,-2",True
95,8,11,ChSq1,3.0,1.36,4.36,"3,3,1,3,3,3,3,2,2",False
96,8,12,CCoSp3,3.0,0.51,3.51,"2,2,1,2,2,2,2,1,1",False
97,9,1,3S,4.3,1.23,5.53,"2,2,3,3,3,3,3,3,3",False
98,9,2,3Lz+3T,10.1,1.35,11.45,"2,2,2,1,3,2,3,3,2",False
99,9,3,3A<,6.4,-2.83,3.57,"-5,-4,-5,-5,-4,-5,-4,-2,-4",False
100,9,4,3Fq,5.3,-0.68,4.62,"-1,-2,-1,-1,-2,-2,-1,-1,-1",False
101,9,5,CCoSp2V,1.88,0.24,2.12,"2,2,0,1,2,0,1,2,1",False
102,9,6,StSq3,3.3,0.66,3.96,"2,2,2,2,2,2,2,3,2",False
103,9,7,3Aq+REP,6.16,-3.89,2.27,"-5,-5,-5,-5,-5,-5,-5,-4,-4",True
104,9,8,3Lz+2A+1A+SEQ,11.33,0.93,12.26,"2,1,1,1,2,2,2,2,1",True
105,9,9,3Lo<,4.31,-0.78,3.53,"-2,-2,-2,-2,-2,-2,-2,-1,-2",True
106,9,10,FCCoSp4,3.5,0.6,4.1,"1,2,-2,2,3,1,2,2,2",False
107,9,11,FSSp3,2.6,0.63,3.23,"3,2,1,3,2,2,2,3,3",False
108,9,12,ChSq1,3.0,1.14,4.14,"2,2,2,2,2,2,3,3,3",False
