id,competition_id,skater_name,nation,rank,program_type,category,total_score,tes_score,pcs_score,deductions
1,1,Shun SATO,JPN,1,Free,Men,183.99,100.74,83.25,0.0
2,1,Daniel GRASSL,ITA,2,Free,Men,179.01,96.96,82.05,0.0
3,1,Mikhail SHAIDOROV,KAZ,3,Free,Men,174.34,96.02,79.32,-1.0
4,1,Tomoki HIWATASHI,USA,4,Free,Men,166.64,90.52,76.12,0.0
5,1,Jacob SANCHEZ,USA,5,Free,Men,148.81,73.28,75.53,0.0
6,1,Vladimir LITVINTSEV,AZE,6,Free,Men,148.8,77.07,71.73,0.0
7,1,Boyang JIN,CHN,7,Free,Men,146.19,70.94,75.25,0.0
8,1,Junhwan CHA,KOR,8,Free,Men,141.92,65.07,78.85,-2.0
9,1,Deniss VASILJEVS,LAT,9,Free,Men,137.97,60.78,77.19,0.0
10,1,Daiwei DAI,CHN,10,Free,Men,135.72,67.32,68.4,0.0
11,1,Sota YAMAMOTO,JPN,11,Free,Men,124.1,48.73,76.37,-1.0
12,1,Zhiming PENG,CHN,12,Free,Men,117.11,57.57,60.54,-1.0
13,1,Shun SATO,JPN,1,Short,Men,94.13,53.28,40.85,0.0
14,1,Daniel GRASSL,ITA,2,Short,Men,90.42,49.75,40.67,0.0
15,1,Mikhail SHAIDOROV,KAZ,3,Short,Men,88.33,47.88,40.45,0.0
16,1,Sota YAMAMOTO,JPN,4,Short,Men,87.57,47.07,40.5,0.0
17,1,Boyang JIN,CHN,5,Short,Men,86.62,47.91,38.71,0.0
18,1,Tomoki HIWATASHI,USA,6,Short,Men,79.07,41.6,37.47,0.0
19,1,Junhwan CHA,KOR,7,Short,Men,75.61,33.92,41.69,0.0
20,1,Vladimir LITVINTSEV,AZE,8,Short,Men,73.84,38.78,35.06,0.0
21,1,Jacob SANCHEZ,USA,9,Short,Men,72.4,35.64,37.76,-1.0
22,1,Zhiming PENG,CHN,10,Short,Men,67.41,36.92,31.49,-1.0
23,1,Deniss VASILJEVS,LAT,11,Short,Men,66.54,28.46,39.08,-1.0
24,1,Daiwei DAI,CHN,12,Short,Men,61.82,27.12,34.7,0.0
25,1,Amber GLENN,USA,1,Free,Women,141.74,75.27,66.47,0.0
26,1,Alysa LIU,USA,2,Free,Women,137.46,69.29,68.17,0.0
27,1,Anastasiia GUBANOVA,GEO,3,Free,Women,131.6,67.41,64.19,0.0
28,1,Jia SHIN,KOR,4,Free,Women,127.42,65.3,63.12,-1.0
29,1,Rinka WATANABE,JPN,5,Free,Women,124.62,62.18,63.44,-1.0
30,1,Rino MATSUIKE,JPN,6,Free,Women,122.15,63.04,61.11,-2.0
31,1,Ruiyang ZHANG,CHN,7,Free,Women,117.83,61.76,56.07,0.0
32,1,Anna PEZZETTA,ITA,8,Free,Women,116.45,57.12,59.33,0.0
33,1,Hana YOSHIDA,JPN,9,Free,Women,115.07,57.68,58.39,-1.0
34,1,Haein LEE,KOR,10,Free,Women,111.86,53.56,59.3,-1.0
35,1,Yi ZHU,CHN,11,Free,Women,99.27,48.91,52.36,-2.0
36,1,Alysa LIU,USA,1,Short,Women,74.61,40.65,33.96,0.0
37,1,Rinka WATANABE,JPN,2,Short,Women,74.01,41.56,32.45,0.0
38,1,Amber GLENN,USA,3,Short,Women,73.04,39.69,33.35,0.0
39,1,Jia SHIN,KOR,4,Short,Women,68.01,36.56,31.45,0.0
40,1,Anastasiia GUBANOVA,GEO,5,Short,Women,66.28,33.98,32.3,0.0
41,1,Rino MATSUIKE,JPN,6,Short,Women,65.91,35.59,30.32,0.0
42,1,Haein LEE,KOR,7,Short,Women,65.46,34.68,30.78,0.0
43,1,Yi ZHU,CHN,8,Short,Women,63.39,35.36,28.03,0.0
44,1,Anna PEZZETTA,ITA,9,Short,Women,61.89,33.1,29.79,-1.0
45,1,Ruiyang ZHANG,CHN,10,Short,Women,61.71,34.51,27.2,0.0
46,1,Hana YOSHIDA,JPN,11,Short,Women,61.47,30.63,30.84,0.0
47,1,Shun SATO,JPN,1,Free,Men,183.99,100.74,83.25,0.0
48,1,Daniel GRASSL,ITA,2,Free,Men,179.01,96.96,82.05,0.0
49,1,Mikhail SHAIDOROV,KAZ,3,Free,Men,174.34,96.02,79.32,-1.0
50,1,Tomoki HIWATASHI,USA,4,Free,Men,166.64,90.52,76.12,0.0
51,1,Jacob SANCHEZ,USA,5,Free,Men,148.81,73.28,75.53,0.0
52,1,Vladimir LITVINTSEV,AZE,6,Free,Men,148.8,77.07,71.73,0.0
53,1,Boyang JIN,CHN,7,Free,Men,146.19,70.94,75.25,0.0
54,1,Junhwan CHA,KOR,8,Free,Men,141.92,65.07,78.85,-2.0
55,1,Deniss VASILJEVS,LAT,9,Free,Men,137.97,60.78,77.19,0.0
56,1,Daiwei DAI,CHN,10,Free,Men,135.72,67.32,68.4,0.0
